27356, -15343, 22265, -118156,
27356, -15343, 22265, -118156,
27033, -15666, 22265, -117833,
27356, -15343, 22265, -118156,
27356, -15343, 22265, -117833,
27679, -15343, 22588, -117833,
27356, -15343, 22588, -117833,
27679, -15666, 21941, -118156,
27033, -15666, 21941, -118156,
27356, -15343, 22588, -118156,
27356, -15666, 22588, -117833,
27033, -15343, 22588, -118479,
27679, -15343, 22588, -117833,
27356, -15020, 22588, -117833,
27679, -15020, 22588, -117833,
27356, -15343, 22588, -118156,
27679, -15343, 22265, -118156,
27356, -15343, 22265, -118156,
27033, -15666, 22265, -117833,
27679, -15343, 21941, -118156,
27356, -15666, 22588, -117833,
28003, -15020, 22588, -117509,
27356, -15666, 22265, -118156,
27679, -15343, 22588, -118156,
27033, -15343, 22265, -118156,
27356, -15343, 22588, -117509,
27356, -15343, 22588, -118156,
27033, -15020, 22912, -118479,
28003, -15666, 21941, -118479,
27679, -15343, 22588, -118156,
27679, -15343, 22588, -118156,
27356, -15343, 22265, -118156,
27679, -15343, 22588, -118156,
27679, -15020, 22265, -118156,
27679, -15343, 22265, -118156,
27356, -15666, 22265, -118156,
27356, -15666, 22588, -117833,
27356, -15343, 22588, -118156,
27356, -15343, 22265, -118156,
27033, -15343, 22265, -118156,
27356, -15343, 22588, -117833,
27356, -15343, 22588, -118156,
28003, -14696, 22588, -117833,
27679, -15020, 22912, -117833,
27356, -15343, 22588, -117833,
27033, -15020, 22265, -118156,
27033, -16313, 22265, -118479,
27356, -15020, 22912, -117833,
27033, -15020, 22265, -118156,
27679, -15343, 22265, -117509,
27356, -15666, 21941, -118156,
27356, -15343, 22265, -117833,
27356, -15666, 21941, -117833,
27033, -15666, 22912, -118156,
27356, -15343, 22588, -118479,
27356, -15343, 22588, -118156,
27356, -15666, 22265, -118479,
27356, -15343, 22912, -118156,
27356, -15343, 22588, -117833,
27356, -15343, 22265, -118156,
27356, -15343, 22588, -118156,
27356, -15343, 22588, -118479,
27033, -15666, 22912, -117833,
27356, -15343, 22588, -118156,
