1.0288e+06, 1.72569e+06, 73877.6, -257877,
769744, 1.38969e+06, 43878.2, -560277,
464973, 923327, -532.108, -799077,
139873, 380698, -50018.7, -962104,
-180478, -177730, -94375.7, -1.04407e+06,
-473143, -691906, -124075, -1.046e+06,
-718788, -1.10874e+06, -131711, -974259,
-902715, -1.38767e+06, -113145, -839344,
-1.01545e+06, -1.50474e+06, -68199.4, -654591,
-1.05289e+06, -1.45463e+06, -802.214, -435003,
-1.01613e+06, -1.25062e+06, 81427.7, -196234,
-910928, -922388, 168113, 46221.4,
-747001, -512158, 247441, 277630,
-537190, -69450.2, 307706, 484481,
-296526, 354753, 338880, 654863,
-41299.8, 713822, 333998, 778823,
211856, 970603, 290193, 848760,
446844, 1.10127e+06, 209235, 859848,
648924, 1.09753e+06, 97508.6, 810492,
805462, 966947, -34578.9, 702728,
906600, 731415, -173686, 542500,
945814, 424069, -305002, 339703,
920355, 84958.8, -413909, 107917,
831501, -243912, -487656, -136238,
684631, -523600, -516833, -374129,
489042, -722701, -496491, -586492,
257525, -820782, -426774, -755051,
5669.43, -810406, -312987, -864243,
-249075, -697544, -165104, -902859,
-488541, -500384, 3236.08, -865397,
-695118, -246730, 176113, -752957,
-853080, 29664.5, 336953, -573530,
-949842, 293353, 470212, -341588,
-977056, 511531, 562931, -76982.3,
-931425, 657916, 606010, 196779,
-815147, 715745, 595074, 454717,
-635938, 679544, 530847, 672820,
-406594, 555494, 419020, 830460,
-144117, 360410, 269631, 912538,
131551, 119463, 96057, 911097,
399070, -137028, -86296.7, 826225,
637420, -377340, -261440, 666117,
827626, -572162, -414250, 446294,
954355, -698040, -531795, 188038,
1.00723e+06, -740044, -604397, -83776.3,
981741, -693378, -626380, -343232,
879684, -563757, -596425, -566006,
709043, -366553, -517556, -731813,
483365, -124837, -396750, -826385,
220649, 133432, -244260, -842778,
-58140.1, 378703, -72693.5, -781873,
-330813, 583253, 104043, -652040,
-575794, 724292, 271853, -468020,
-773894, 786452, 417533, -249177,
-909875, 763354, 529749, -17331.5,
-973659, 658135, 599846, 205559,
-961091, 482889, 622449, 399619,
-874197, 257125, 595825, 548923,
